fecha,n1,n2,n3,n4,n5,n6,comp
30/05/2013,3,10,13,34,38,39,29
25/05/2013,9,24,30,37,42,49,18
23/05/2013,3,14,31,36,38,44,2
18/05/2013,9,16,17,34,44,45,37
16/05/2013,12,18,24,28,38,48,32
11/05/2013,9,14,21,25,26,42,29
9/05/2013,12,15,16,44,45,46,7
4/05/2013,2,10,12,21,37,40,36
2/05/2013,8,16,21,32,40,42,35
27/04/2013,1,6,10,16,23,36,15
25/04/2013,4,5,21,32,35,47,15
20/04/2013,4,10,17,22,35,48,38
18/04/2013,6,22,29,32,38,40,47
13/04/2013,9,12,14,16,38,46,32
11/04/2013,4,6,21,26,33,40,11
6/04/2013,1,16,20,30,38,43,28
4/04/2013,1,3,9,11,29,31,14
30/03/2013,1,9,13,24,29,39,25
28/03/2013,13,15,18,33,39,45,26
23/03/2013,16,17,31,32,41,42,33
21/03/2013,7,13,15,27,37,44,6
16/03/2013,1,7,12,13,15,17,31
14/03/2013,10,15,24,30,39,45,17
9/03/2013,5,8,22,24,28,44,40
7/03/2013,23,25,29,36,37,48,19
2/03/2013,4,6,7,12,18,39,32
28/02/2013,14,22,23,26,27,29,28
23/02/2013,6,16,38,44,45,46,28
21/02/2013,13,14,17,36,38,41,15
16/02/2013,4,15,16,22,30,41,29
14/02/2013,1,2,22,34,35,39,46
9/02/2013,1,3,15,24,43,44,23
7/02/2013,2,6,12,24,44,47,48
2/02/2013,7,8,31,33,34,47,6
31/01/2013,3,9,13,24,32,49,27
26/01/2013,10,22,32,35,36,47,18
24/01/2013,1,16,24,29,31,43,6
19/01/2013,5,8,25,34,37,44,1
17/01/2013,1,23,30,41,43,49,10
12/01/2013,2,3,19,20,29,37,1
10/01/2013,29,32,34,42,44,46,26
5/01/2013,1,4,9,11,38,48,26
3/01/2013,3,15,23,26,34,38,16
